Name,Quality,stattrak_available,souvenir_available,weapon_type,min_float,max_float,worst_condition_index,best_condition_index,containers_found_in,DefIndex,PaintIndex
AK-47 | Aquamarine Revenge,covert,True,False,rifle,0.0,1.0,4,0,falchion case,7,474
AK-47 | Asiimov,covert,True,False,rifle,0.05,0.7,4,0,danger zone case,7,801
AK-47 | Baroque Purple,industrial grade,False,False,rifle,0.0,1.0,4,0,the canals collection,7,745
AK-47 | Black Laminate,mil-spec,False,True,rifle,0.06,0.8,4,0,the vertigo collection,7,172
AK-47 | Bloodsport,covert,True,False,rifle,0.0,0.45,3,0,spectrum case,7,639
AK-47 | Blue Laminate,restricted,True,False,rifle,0.02,0.4,3,0,esports 2013 winter case,7,226
AK-47 | Cartel,classified,True,False,rifle,0.0,0.75,4,0,chroma case,7,394
AK-47 | Case Hardened,classified,True,False,rifle,0.0,1.0,4,0,csgo weapon case,7,44
AK-47 | Elite Build,mil-spec,True,False,rifle,0.0,1.0,4,0,chroma 2 case,7,422
AK-47 | Emerald Pinstripe,restricted,False,False,rifle,0.0,1.0,4,0,the bank collection,7,300
AK-47 | Fire Serpent,covert,True,False,rifle,0.06,0.76,4,0,operation bravo case,7,180
AK-47 | First Class,restricted,False,False,rifle,0.0,1.0,4,0,the baggage collection,7,341
AK-47 | Frontside Misty,classified,True,False,rifle,0.02,0.87,4,0,shadow case,7,490
AK-47 | Fuel Injector,covert,True,False,rifle,0.0,1.0,4,0,operation wildfire case,7,524
AK-47 | Gold Arabesque,covert,False,True,rifle,0.0,0.7,4,0,the 2021 dust 2 collection,7,921
AK-47 | Green Laminate,mil-spec,False,True,rifle,0.02,0.4,3,0,the 2021 vertigo collection,7,1070
AK-47 | Head Shot,covert,True,False,rifle,0.0,1.0,4,0,revolution case,7,1221
AK-47 | Hydroponic,classified,False,False,rifle,0.0,0.8,4,0,the rising sun collection,7,456
AK-47 | Ice Coaled,classified,True,False,rifle,0.0,0.77,4,0,recoil case,7,1143
AK-47 | Inheritance,covert,True,False,rifle,0.0,0.8,4,0,kilowatt case,7,1171
AK-47 | Jaguar,covert,True,False,rifle,0.0,1.0,4,0,esports 2014 summer case,7,316
AK-47 | Jet Set,classified,False,False,rifle,0.0,1.0,4,0,the baggage collection,7,340
AK-47 | Jungle Spray,industrial grade,False,False,rifle,0.06,0.8,4,0,the aztec collection,7,122
AK-47 | Leet Museo,covert,True,False,rifle,0.0,0.65,4,0,operation riptide case,7,1087
AK-47 | Legion of Anubis,covert,True,False,rifle,0.0,0.7,4,0,fracture case,7,959
AK-47 | Neon Revolution,covert,True,False,rifle,0.0,0.8,4,0,gamma 2 case,7,600
AK-47 | Neon Rider,covert,True,False,rifle,0.0,0.8,4,0,horizon case,7,707
AK-47 | Nightwish,covert,True,False,rifle,0.0,1.0,4,0,dreams and nightmares case,7,1141
AK-47 | Orbit Mk01,restricted,True,False,rifle,0.0,0.55,4,0,operation hydra case,7,656
AK-47 | Panthera onca,classified,False,True,rifle,0.0,1.0,4,0,the ancient collection,7,1018
AK-47 | Phantom Disruptor,classified,True,False,rifle,0.0,0.65,4,0,prisma 2 case,7,941
AK-47 | Point Disarray,classified,True,False,rifle,0.0,0.67,4,0,revolver case,7,506
AK-47 | Predator,industrial grade,False,False,rifle,0.06,0.8,4,0,the dust collection,7,170
AK-47 | Rat Rod,restricted,True,False,rifle,0.0,1.0,4,0,shattered web case,7,885
AK-47 | Red Laminate,classified,True,False,rifle,0.06,0.8,4,0,esports 2013 case,7,14
AK-47 | Redline,classified,True,False,rifle,0.1,0.7,4,1,operation phoenix weapon case,7,282
AK-47 | Safari Mesh,industrial grade,False,True,rifle,0.06,0.8,4,0,the dust 2 collection,7,72
AK-47 | Safety Net,restricted,False,True,rifle,0.0,0.6,4,0,the 2018 inferno collection,7,795
