id,name,image
3942,Sticker | n0rb3r7 | Katowice 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/katowice2019/sig_n0rb3r7_large.bba1509a488c0b45257fd789a92e9a2f0bca904c.png
3943,Sticker | n0rb3r7 (Foil) | Katowice 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/katowice2019/sig_n0rb3r7_foil_large.5ce23c15b5a59c0e1ba9e69065d2300ef7b6e661.png
3944,Sticker | n0rb3r7 (Gold) | Katowice 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/katowice2019/sig_n0rb3r7_gold_large.30c21728f5b3b6c5bd7f65b8c55b898183412a74.png
6550,Sticker | n0rb3r7 | Rio 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_n0rb3r7_large.4cfa0de7022a5f33f56de0a7008b85700d0edcb0.png
6551,Sticker | n0rb3r7 (Glitter) | Rio 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_n0rb3r7_glitter_large.5ec3085e2e7d0e6d624df9defafe301e985ed9d3.png
6552,Sticker | n0rb3r7 (Holo) | Rio 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_n0rb3r7_holo_large.75f8aec6c282b3bc88e5f40800078b2edafbb9e5.png
6553,Sticker | n0rb3r7 (Gold) | Rio 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_n0rb3r7_gold_large.a8bfc11935f22844f3623ccbc6b8d49cea6b54b7.png
6570,Sticker | n0rb3r7 (Champion) | Rio 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_n0rb3r7_champion_large.63116bf2baecab0a724c477055d5b851f6fb9643.png
6571,"Sticker | n0rb3r7 (Glitter, Champion) | Rio 2022",https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_n0rb3r7_glitter_champion_large.4259afd2be28322b39ab3d37bf9e273c58381053.png
6572,"Sticker | n0rb3r7 (Holo, Champion) | Rio 2022",https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_n0rb3r7_holo_champion_large.4cf3590b29be28f17260309862bb73da0c9ecac4.png
6573,"Sticker | n0rb3r7 (Gold, Champion) | Rio 2022",https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_n0rb3r7_gold_champion_large.49c701336e6356a86a341550fe4bbdfad45bfd1e.png
575,Sticker | Maniac | Cologne 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cologne2015/sig_maniac_large.a8be2845eabe3b54434d3cf8cb65ee1d9e9e7a81.png
576,Sticker | Maniac (Foil) | Cologne 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cologne2015/sig_maniac_foil_large.8cb74d6c63894e3d244fc2d9a6c6c126fd02b533.png
577,Sticker | Maniac (Gold) | Cologne 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cologne2015/sig_maniac_gold_large.c45a6e5c43f67b1ac50e2bc8234b37dabbd61c6f.png
5177,Sticker | Ax1Le | Stockholm 2021,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/stockh2021/sig_ax1le_large.ca8ed2b84b844af12cd8c560d9d2d139e150a42b.png
5178,Sticker | Ax1Le (Holo) | Stockholm 2021,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/stockh2021/sig_ax1le_holo_large.0cfe92264e3b275455419e858f785344efeb03ae.png
5179,Sticker | Ax1Le (Gold) | Stockholm 2021,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/stockh2021/sig_ax1le_gold_large.797a07f75e9f79023efc827a7ba19d26cfe9109a.png
5468,Sticker | Ax1Le | Antwerp 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/antwerp2022/sig_ax1le_large.cc1c225250ff2746fe55c1df7c2386a321fd7c1e.png
5469,Sticker | Ax1Le (Glitter) | Antwerp 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/antwerp2022/sig_ax1le_glitter_large.f0160490aa1c73d3b95643c2e678331ef176e36c.png
5470,Sticker | Ax1Le (Holo) | Antwerp 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/antwerp2022/sig_ax1le_holo_large.d3cdbf012aad2ed3fd8dd02b0cc1963eadfa7af1.png
5471,Sticker | Ax1Le (Gold) | Antwerp 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/antwerp2022/sig_ax1le_gold_large.aa625b339ff7a82caf817031b1b47513e28700b1.png
6314,Sticker | Ax1Le | Rio 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_ax1le_large.d3e224ab99bd3d709a936c83ab7aaa6ec3588cf9.png
6315,Sticker | Ax1Le (Glitter) | Rio 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_ax1le_glitter_large.4a0314b5407bd6dbec1686cb31d8094b23a995ec.png
6316,Sticker | Ax1Le (Holo) | Rio 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_ax1le_holo_large.41a273662173e7c0ea8096935e5974de30ce45b0.png
6317,Sticker | Ax1Le (Gold) | Rio 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_ax1le_gold_large.960918944fc6b8fad11a8a92ab440d092c46c2f7.png
5804,Sticker | nin9 | Antwerp 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/antwerp2022/sig_nin9_large.559f7deb6a5cef11f4b15661891ad530acd5d277.png
5805,Sticker | nin9 (Glitter) | Antwerp 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/antwerp2022/sig_nin9_glitter_large.05eafe4420e911db2750271b804d4ec57859f921.png
5806,Sticker | nin9 (Holo) | Antwerp 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/antwerp2022/sig_nin9_holo_large.c4023eafe802a7e9bba79314b2f553367ab0015c.png
5807,Sticker | nin9 (Gold) | Antwerp 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/antwerp2022/sig_nin9_gold_large.fcb152bac526393e98cea7e95f9548c6a5cd762d.png
3257,Sticker | smooya | London 2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/london2018/sig_smooya_large.90779a24507fd4ea762dbead133578e0abde2719.png
3258,Sticker | smooya (Foil) | London 2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/london2018/sig_smooya_foil_large.b3fc0519f8467a3684a7beedc2ef5bd9ed244dc2.png
3259,Sticker | smooya (Gold) | London 2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/london2018/sig_smooya_gold_large.dc05427d9345ee58f09d6696ba5225d548163a2d.png
3627,Sticker | smooya | Katowice 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/katowice2019/sig_smooya_large.6d9b212cef8a4ab983e0b7f4f79fd92c62e5e1f7.png
3628,Sticker | smooya (Foil) | Katowice 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/katowice2019/sig_smooya_foil_large.f94363c137d5e999851a1a5512650600abf7ca37.png
3629,Sticker | smooya (Gold) | Katowice 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/katowice2019/sig_smooya_gold_large.4cf058750748daff818fb3692226c5fb60d2c7d9.png
3663,Sticker | Aerial | Katowice 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/katowice2019/sig_aerial_large.a4ea5acfd388e614f7e1098208529cfeeff7cd6d.png
3664,Sticker | Aerial (Foil) | Katowice 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/katowice2019/sig_aerial_foil_large.d47def4bee7e3a63aff513d90148e2230ce1b119.png
3665,Sticker | Aerial (Gold) | Katowice 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/katowice2019/sig_aerial_gold_large.c62bf114292d321e16d3d0d061e48d3920c543af.png
4162,Sticker | Aerial | Berlin 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/berlin2019/sig_aerial_large.dead0d97ef9235dea94f96192c5a536ff32f8adc.png
4163,Sticker | Aerial (Foil) | Berlin 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/berlin2019/sig_aerial_foil_large.e782b6dcde4d03a8d93adeccdd0a7a638581d49f.png
4164,Sticker | Aerial (Gold) | Berlin 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/berlin2019/sig_aerial_gold_large.53bc80b9b358f0e1083a0fd1b5d4e8db19f877a5.png
1093,Sticker | Stewie2K | MLG Columbus 2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/columbus2016/sig_stewie2k_large.19b3006e287c7c540def38a2c77b51a4a3167f9a.png
1094,Sticker | Stewie2K (Foil) | MLG Columbus 2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/columbus2016/sig_stewie2k_foil_large.ae9b4c2c2d4a35e1da775e254b3880bb72df6d69.png
1095,Sticker | Stewie2K (Gold) | MLG Columbus 2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/columbus2016/sig_stewie2k_gold_large.07b70b1c9d1e0c17ee69ffd40f0325a45fa4f293.png
2325,Sticker | Stewie2K | Krakow 2017,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/krakow2017/sig_stewie2k_large.22f23cde4511e0c5e1301aa6285b85c9a6a0ae61.png
2326,Sticker | Stewie2K (Foil) | Krakow 2017,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/krakow2017/sig_stewie2k_foil_large.96e4ca416c2db14febffcfae6a0c04d4acf3ca32.png
2327,Sticker | Stewie2K (Gold) | Krakow 2017,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/krakow2017/sig_stewie2k_gold_large.f215d7227bc31e88ccad63e46f251a69bcbbfe36.png
2705,Sticker | Stewie2K | Boston 2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/boston2018/sig_stewie2k_large.0858a7b1926849efe655735151bc158102cd5163.png
2706,Sticker | Stewie2K (Foil) | Boston 2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/boston2018/sig_stewie2k_foil_large.ba5d479f0d9152c4773ba9decb7c700da6ab5796.png
2707,Sticker | Stewie2K (Gold) | Boston 2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/boston2018/sig_stewie2k_gold_large.ac3a7326de9164606091e70916339f1a4a306d28.png
3134,Sticker | Stewie2K | London 2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/london2018/sig_stewie2k_large.390b929d3bf70ccbb6e673421d4ba858ff1a51ec.png
3135,Sticker | Stewie2K (Foil) | London 2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/london2018/sig_stewie2k_foil_large.212a17dd84da3b3dfc8534b46c2f18c3ca165a3a.png
3136,Sticker | Stewie2K (Gold) | London 2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/london2018/sig_stewie2k_gold_large.bcc9d17e7bd2a61d5bcc3f2c4fe286789f20d0f4.png
3843,Sticker | Stewie2K | Katowice 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/katowice2019/sig_stewie2k_large.77f661e8c3d2e81ba4e0ab20f37e4914df361fe1.png
3844,Sticker | Stewie2K (Foil) | Katowice 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/katowice2019/sig_stewie2k_foil_large.c70ba93915c84c7f665bd272e7a25d1be4d29e07.png
3845,Sticker | Stewie2K (Gold) | Katowice 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/katowice2019/sig_stewie2k_gold_large.149a8ac00b7ce637fb5f7089f9114d959e3db7ea.png
4237,Sticker | Stewie2K | Berlin 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/berlin2019/sig_stewie2k_large.337a07455f0362ccd3e29a75cd937ebb4de14775.png
4238,Sticker | Stewie2K (Foil) | Berlin 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/berlin2019/sig_stewie2k_foil_large.f24c9fcdffa3ca370d1cf03de9d455a2b3dfde42.png
4239,Sticker | Stewie2K (Gold) | Berlin 2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/berlin2019/sig_stewie2k_gold_large.6caeac2cbf1e1a57e19be82ebdda1d97fe26fa83.png
5748,Sticker | Patsi | Antwerp 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/antwerp2022/sig_patsi_large.7dbeba3499d2451b4320544e8a9aae1891ee6770.png
5749,Sticker | Patsi (Glitter) | Antwerp 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/antwerp2022/sig_patsi_glitter_large.868699160a95fe4bd13244debbaee1db10b40b22.png
5750,Sticker | Patsi (Holo) | Antwerp 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/antwerp2022/sig_patsi_holo_large.c33715faafe75a468540b4b3a36d88b422a77482.png
5751,Sticker | Patsi (Gold) | Antwerp 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/antwerp2022/sig_patsi_gold_large.54d8b9175ac35e34bd4744011e8acfefbc4c35a0.png
6234,Sticker | Patsi | Rio 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_patsi_large.cc23187c046cb9f53bffc99819f1029495a89e76.png
6235,Sticker | Patsi (Glitter) | Rio 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_patsi_glitter_large.fe20cbfe3adf68d7a551da152f0edde06d8e6c08.png
6236,Sticker | Patsi (Holo) | Rio 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_patsi_holo_large.dfdcded02c4f539bd16a906ecdb9bd10f43932f7.png
6237,Sticker | Patsi (Gold) | Rio 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_patsi_gold_large.21b8d58bf304e18c347e91ea750d789b46660e43.png
